asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion,feat_tiene_links,feat_errores_gramaticales,feat_todo_mayusculas,feat_solicita_info_personal,feat_cuerpo_len,feat_num_exclam,feat_upper_ratio,feat_num_words_body
Gana un auto nuevo,Participa en nuestro concurso y gana un auto nuevo,spam,concursos@ganarauto.com,1,1,1,1,SPAM,1,1,1,1,50,0,0.023809523809523808,9
Problemas con tu tarjeta de credito,Hemos detectado un problema con tu tarjeta de credito. Contacta con nosotros a traves de [enlace].,spam,seguridad@tarjeta.com,0,0,0,0,SPAM,0,0,0,0,98,0,0.02531645569620253,16
"Hola; como estas?;""Hola; ¿como estas? Espero que bien. Queria preguntarte..."";ham;maria.rodriguez@gmail.com;False;True;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta Increible: ¡70% de descuento!,Aprovecha nuestra oferta increible del 70% de descuento. [enlace],spam,ofertas@descuentomaximo.com,0,0,0,0,SPAM,0,0,0,0,65,1,0.0196078431372549,9
"Re: Reserva de hotel;""Estimado cliente; su reserva de hotel esta confirmada."";ham;reservas@hotel.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Tu premio te espera;""Felicidades; has ganado un premio. Reclamalo ahora en este enlace: [enlace]"";spam;premio@ganador.com;True;False;False;False;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
"Cambio de contraseña;""#stimado cliente; por favor cambia tu contraseña siguiendo este enlace: [enlace]"";spam;seguridad@contrasena.com;True;False;False;True;Spam",Non#,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
Re: Proyecto Alfa,Adjunto información relevante al proyecto Alfa. Saludos.,ham,pedro.martinez@yahoo.com,0,0,0,0,HAM,0,0,0,0,57,0,0.08333333333333333,7
¡Oferta Limitada! ¡Compra Ahora!,¡No te pierdas nuestra oferta limitada! ¡Compra ahora antes de que se agoten!,spam,ofertas@limitadas.com,0,0,0,0,SPAM,0,0,0,0,79,4,0.06349206349206349,13
"Re: Reunión mañana;""Hola; confirmo nuestra reunión para mañana a las 10 AM."";ham;luis.hernandez@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Mensaje importante,Este es un mensaje importante que no debes ignorar. [enlace],spam,importante@mensaje.com,0,0,0,0,SPAM,0,0,0,0,60,0,0.020833333333333332,10
Confirmación#de pedido,Tu pedi#o ha sido confirmado.  Revisa tu número de pedido: #12345,ham,pedidos@tiendaonline.com,0,0,0,0,HAM,0,0,0,0,66,0,0.06666666666666667,11
Tu cuenta esta en riesgo,Tu cuenta esta en riesgo. Cambia tu contraseña ahora mismo [enlace],spam,seguridad@riesgo.com,0,0,0,0,SPAM,0,0,0,0,68,0,0.05555555555555555,11
"Re: Presupuesto;""Hola; te adjunto el presupuesto solicitado."";ham;sofia.lopez@outlook.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Oferta Increíble: ¡Gana un viaje gratis!;""Felicidades; has ganado un viaje gratis. Reclámalo aquí: [enlace]"";spam;viajesgratis@ganarviaje.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: Vacaciones;""Hola; ¿cómo van los preparativos para las vacaciones?"";ham;elena.gomez@gmail.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana dinero fácil!,¡Gana dinero fácil y rápido! ¡Inscríbete ahora! [enlace],spam,dinero@facil.com,0,0,0,0,SPAM,0,0,0,0,61,3,0.15555555555555556,8
"Re: Cita para el lunes;""Hola; confirmo nuestra cita para el lunes a las 3 PM."";ham;david.gonzalez@yahoo.com;False;False;False;False;Ham",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
"Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado. Puede rastrearlo aquí: [enlace]"";ham;envios@correo.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Oferta Increíble: ¡Gana un millón de dólares!;""Felicidades; ha ganado un millón de dólares. Para reclamar su premio; por favor; proporcione sus datos bancarios."";spam;premiomillonario@ofertasespeciales.com;True;False;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: Informe semanal;""Hola; adjunto el informe semanal."";ham;jefe@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Última oportunidad! ¡Compra ahora!,¡No te pierdas nuestra última oportunidad! ¡Compra ahora antes de que se agoten!,spam,ofertas@ultimodia.com,0,0,0,0,SPAM,0,0,0,0,83,4,0.07575757575757576,13
"Re: Planificación proyecto;""Hola; te confirmo la reunión para la planificación del proyecto."";ham;carmen.suarez@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Mensaje urgente,Este es un mensaje urgente que requiere tu atención inmediata. [enlace],spam,urgente@correo.com,0,0,0,0,SPAM,0,0,0,0,72,0,0.034482758620689655,11
"Oferta increíble: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@ofertasespeciales.com;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado y llegará en 2-3 días hábiles. Puede rastrearlo aquí: [enlace legítimo]"";ham;pedidos@ejemplo.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualiza tu contraseña ahora;""Estimado usuario; por razones de seguridad; actualice su contraseña inmediatamente. Haga clic aquí: [enlace sospechoso]"";spam;seguridad@correofalso.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Nueva promoción,Aprovecha nuestra nueva promoción. ¡Ofertas exclusivas te esperan!,spam,promociones@superofertas.net,0,0,0,0,HAM,0,0,0,0,68,1,0.07017543859649122,8
"Re: Cita médica;""Estimado paciente; le recordamos su cita médica el próximo martes a las 10:00 AM."";ham;citas@hospital.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu paquete está listo para ser recogido,Tu paquete está listo para ser recogido en la oficina de correos más cercana. ID de seguimiento: 1234567890,ham,notificaciones@correo.com,0,0,0,0,HAM,0,0,0,0,109,0,0.0641025641025641,18
"Oferta imperdible;""No te pierdas esta oferta; ¡únicamente por tiempo limitado! Haz clic aquí: [enlace sospechoso]"";spam;ofertas@correo.es;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
Alerta de seguridad,Hemos detectado actividad sospechosa en tu cuenta. Ingresa aquí para verificar: [enlace sospechoso],spam,seguridad@bancorincon.com,0,0,0,0,SPAM,0,0,0,0,100,0,0.03614457831325301,13
Bienvenido a nuestro sitio web,Gracias por registrarte en nuestro sitio web. ¡Esperamos que disfrutes de nuestros servicios!,ham,soporte@ejemplo.com,0,0,0,0,HAM,0,0,0,0,94,1,0.0379746835443038,13
¡¡¡GRAN OFERTA!!!,¡Aprovecha esta increíble oferta! ¡Solo por hoy!,spam,ofertas@ofertasflash.net,0,0,0,0,SPAM,0,0,0,0,51,5,0.125,7
"Mensaje importante;""Por favor; verifica tu información personal para mantener tu cuenta segura. [enlace sospechoso]"";spam;seguridad@correo.net;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Reunión de equipo;""Estimado equipo; recuerden que la reunión es mañana a las 9:00 AM."";ham;gerente@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu cuenta ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sospechosa. Ingresa aquí para desbloquearla: [enlace sospechoso],spam,seguridad@cuenta.com,0,0,0,0,SPAM,0,0,0,0,112,0,0.03225806451612903,15
¡Gana un auto nuevo!,¡Participa en nuestro sorteo y gana un auto nuevo! Haz clic aquí para registrarte: [enlace sospechoso],spam,sorteo@autos.com,0,0,0,0,SPAM,0,0,0,0,104,2,0.04819277108433735,16
"Re:Solicitud de empleo;""Estimado/a [Nombre]; Gracias por su interés en nuestra empresa. Lamentamos informarle que en esta ocasión su solicitud no ha sido seleccionada."";ham;rrhh@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
CONFIRMACION DE PEDIDO,Su pedido ha sido confirmado. Puede ver los detalles aquí: [enlace legítimo],ham,pedidos@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,78,0,0.06557377049180328,12
"¡Oferta Flash!;""¡Por tiempo limitado; aprovecha esta increíble oferta! [enlace sospechoso]"";spam;ofertas@ofertasflash.net;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: Consulta;""Estimado cliente; gracias por su consulta. Le responderemos a la brevedad."";ham;soporte@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Tu cuenta ha sido comprometida,Tu cuenta ha sido comprometida. Restablece tu contraseña inmediatamente: [enlace sospechoso],spam,seguridad@bancofalso.com,0,0,0,0,HAM,0,0,0,0,93,0,0.038461538461538464,11
"¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@ofertasespeciales.com;True;True;True;True;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,2,0.0,0
"Re: Reserva de hotel;""Estimado huésped; su reserva de hotel ha sido confirmada.  Ver detalles: [enlace legítimo]"";ham;reservas@hotel.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Increíble descuento!,¡No te pierdas nuestro increíble descuento! [enlace sospechoso],spam,descuentos@correo.es,0,0,0,0,SPAM,0,0,0,0,65,2,0.05660377358490566,8
"Re: Factura;""Estimado cliente; adjunta encontrará su factura."";ham;facturas@empresa.com;False;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta exclusiva!,¡Aprovecha nuestra oferta exclusiva! [enlace sospechoso],spam,ofertas@correo.net,0,0,0,0,SPAM,0,0,0,0,57,2,0.041666666666666664,6
"Re: Reunión;""Estimado colega; la reunión ha sido pospuesta para mañana."";ham;colega@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado y llegará en 2-3 días hábiles."";ham;pedidos@tiendaonline.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana dinero fácil!,¡Gana dinero fácil y rápido! ¡Inscríbete ahora!: [enlace sospechoso],spam,dinero@facil.com,0,0,0,0,SPAM,0,0,0,0,73,3,0.12727272727272726,9
"Re: Solicitud de información;""Estimado cliente; gracias por su solicitud de información.  A continuación encontrará la respuesta a su consulta."";ham;soporte@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta limitada!,¡Aprovecha nuestra oferta limitada! [enlace sospechoso],spam,ofertas@correo.es,0,0,0,0,HAM,0,0,0,0,56,2,0.0425531914893617,6
"Re: Cambio de horario;""Estimado equipo; les informo sobre el cambio de horario para la próxima reunión."";ham;gerente@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Mensaje importante del banco;""Estimado cliente; hemos detectado una actividad sospechosa en su cuenta. [enlace sospechoso]"";spam;seguridad@bancorincon.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Cita;""Estimado cliente; le recordamos su cita para mañana."";ham;citas@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Increíble oportunidad de negocio,No pierda esta oportunidad de negocio única! [enlace sospechoso],spam,negocios@oportunidad.com,0,0,0,0,SPAM,0,0,0,0,65,1,0.03773584905660377,9
"Re: Proyecto X;""Estimado equipo; les adjunto el documento del proyecto X."";ham;jefe_proyecto@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gran premio!,¡Ha ganado un gran premio! Reclámelo aquí: [enlace sospechoso],spam,premios@correo.net,0,0,0,0,HAM,0,0,0,0,65,2,0.1,9
"Re: Presupuesto;""Estimado cliente; adjunto encontrará el presupuesto solicitado."";ham;presupuestos@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Aumente sus ganancias!,¡Aprenda a aumentar sus ganancias con este curso online! [enlace sospechoso],spam,ganancias@online.com,0,0,0,0,SPAM,0,0,0,0,77,2,0.031746031746031744,11
"Re: Seguimiento de pedido;""Estimado cliente; puede seguir su pedido aquí: [enlace legítimo]"";ham;seguimiento@tiendaonline.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Gana un viaje gratis!,¡Participa en nuestro sorteo y gana un viaje gratis! [enlace sospechoso],spam,sorteos@viajes.com,0,0,0,0,SPAM,0,0,0,0,73,2,0.03389830508474576,11
"Re: Queja;""Estimado cliente; lamentamos las molestias ocasionadas.  Nos pondremos en contacto con usted a la brevedad."";ham;atencion_cliente@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
¡Oferta irresistible!,¡No deje pasar esta oferta irresistible! [enlace sospechoso],spam,ofertas@correo.es,0,0,0,0,SPAM,0,0,0,0,61,2,0.04,8
"Re: Cotización;""Estimado cliente; le enviamos la cotización solicitada."";ham;cotizaciones@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Su paquete ha llegado,Su paquete ha llegado a la oficina de correos. ID de seguimiento: 1234567890,ham,notificaciones@correo.com,0,0,0,0,HAM,0,0,0,0,76,0,0.057692307692307696,13
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
Su pedido ha sido enviado,Su pedido número 12345 ha sido enviado. Puede rastrearlo aquí: [enlace seguro],ham,pedidos@tiendaonline.com,0,0,0,0,SPAM,0,0,0,0,80,0,0.06896551724137931,12
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Correo electrónico importante;""Estimado usuario; por favor verifique su información de cuenta.  Para evitar problemas; actualice su contraseña aquí:[enlace sospechoso]"";spam;seguridad@bancomundial.org;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Invitación a evento;""Estimado/a [nombre]; le invitamos a nuestro próximo evento. Más información en [enlace seguro]"";ham;eventos@empresa.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Su cuenta ha sido bloqueada;""Estimado usuario; su cuenta ha sido bloqueada debido a actividad sospechosa. Por favor; inicie sesión para desbloquearla: [enlace sospechoso]"";spam;seguridad@bancofalso.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Actualización de software;""Estimado usuario; hemos lanzado una nueva actualización de software. Descargue la actualización aquí: [enlace seguro]"";ham;soporte@software.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Problemas con su cuenta;""Estimado cliente; hemos detectado problemas con su cuenta. Por favor; actualice su información aquí: [enlace sospechoso]"";spam;seguridad@banconacional.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Nuevo mensaje;""Hola [nombre]; tienes un nuevo mensaje en tu bandeja de entrada."";ham;notificaciones@correo.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Recordatorio de cita;""Estimado/a [nombre]; este correo es un recordatorio de su cita el [fecha] a las [hora]."";ham;citas@clinica.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Confirmación de compra;""Estimado cliente; su compra ha sido c#nfirmada. Número de pedido: [número de pedido]"";ham;compras@tiendaonline.com;False;False;False;False;Ham",No#e,,,0,0,0,0,HAM,0,0,0,0,4,0,0.3333333333333333,1
"Actualización de la política de privacidad;""Estimado usuario; hemos actualizado nuestra política de privacidad. Lea la información completa aquí: [enlace seguro]"";ham;privacidad@empresa.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Problemas de inicio de sesión;""Estimado usuario; hemos detectado problemas con su inicio de sesión. Por favor; restablezca su contraseña aquí: [enlace sospechoso]"";spam;seguridad@emailfalso.com;True;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
Solicitud de amistad,[nombre] te ha enviado una solicitud de amistad.,ham,notificaciones@redsocial.com,0,0,0,0,HAM,0,0,0,0,48,0,0.0,8
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
Nuevo comentario en tu publicación,Alguien ha comentado en tu publicación. Mira el comentario aquí: [enlace seguro],ham,notificaciones@blog.com,0,0,0,0,HAM,0,0,0,0,82,0,0.06153846153846154,12
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,2,0.0,0
"Re: ¡Oferta Increíble! 50% de descuento;""Estimado cliente; aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"";spam;ofertas@ofertasespeciales.com;True;False;True;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: ¡Gane un millón de dólares!;""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio; haga clic aquí: [enlace sospechoso]"";spam;ganador@loteria.net;True;True;True;True;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,2,0.0,0
"Oferta Increíble: ¡Gana un millón de dólares!;""Felicidades; has ganado un millón de dólares. Para reclamar tu premio; haz clic aquí: [enlace sospechoso]"";spam;ofertasincreibles@ganamillones.com;True;False;True;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Re: Tu pedido ha sido enviado;""Estimado cliente; su pedido ha sido enviado y llegará en 2-3 días hábiles. Puede rastrearlo aquí: [enlace legítimo]"";ham;pedidos@ejemplo.com;True;False;False;False;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"ACTUALIZACIÓN IMPORTANTE DE SU CUENTA;""Estimado cliente; detectamos actividad inusual en su cuenta. Por favor; actualice su información aquí: [enlace sospechoso]"";spam;seguridad@bancofalso.com;True;True;True;True;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
Nueva promoción:#50% de descuento,Aprovecha nuestra nueva promoción y obtén un 50% de descuento en todos nuestros productos. ¡Compra aho#a!,spam,promociones@descuentos.net,0,0,0,0,SPAM,0,0,0,0,108,1,0.05952380952380952,16
"Invitación a conectar en LinkedIn;""Hola [Nombre]; me gustaría conectar contigo en LinkedIn. Compartimos intereses en [Intereses]."";ham;usuario@gmail.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Gana un auto nuevo;""Felicidades; has ganado un auto nuevo. Para reclamarlo; responde a este correo con tus datos personales."";spam;ganagana@autosnuevos.com;False;False;False;True;Spam",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
"Re: Reunión de mañana;""Hola equipo; recuerden que la reunión es mañana a las 10 am. Saludos!"";ham;jefe@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,1,0.0,0
"Tu paquete está listo para ser recogido;""Su paquete ya está listo para ser recogido en nuestra oficina.  Por favor; traiga una identificación con foto."";ham;envios@empresa.com;False;False;False;False;Ham",,,,0,0,0,0,HAM,0,0,0,0,0,0,0.0,0
Oferta Exclusiva: ¡Solo por hoy!,Oferta exclusiva solo por hoy: 70% de descuento en todos nuestros productos. ¡Compra ahora!,spam,ofertas@exclusivas.com,1,1,1,1,SPAM,1,1,1,1,92,2,0.041666666666666664,14
"Problemas con tu cuenta;""Hemos detectado un problema con tu cuenta. Por favor; actualiza tus datos lo antes posible"";spam;seguridad@tucuenta.net;False;False;False;True;Spam",,,,1,1,1,1,HAM,1,1,1,1,0,0,0.0,0
